42,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Regional Victoria,20 or more years,15,3,,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,,Research and development,,,,"$1,000,000 to $4,999,999",60,40,,,Yes,Yes,Increase,Increase,Irregularly,,,Computer software,,,,Information storage and retrieval,,,,,South East Asia,,,,,,,,,,,,,,,,,,,,,,Customising/modifying existing products and services,30,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,
43,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,60,10,10,50,Stay the same,Yes,,,,,,ICT security specialists,ICT network and support professionals (e.g. computer network and systems engineers),,,,ICT sales,,,,,,"$5,000,000 to $9,999,999",70,10,10,10,Yes,No,Decrease,Decrease,Regularly,,,,Computer services,,,,,,,,South East Asia,,,,,,,,,,,,Vietnam,China,,,,Vietnam,China,,,,Developing new products and services,5,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier
44,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,4,2,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$500,000 to $999,999",30,60,,10,Yes,No,Increase,Increase,Irregularly,,,,,Internet and web design,Internet publishing and broadcasting,,,,,,,,,,,Western Europe,,North America,,,Oceania and Pacific Islands,,New Zealand,USA,UK,,,New Zealand,USA,UK,,,Customising/modifying existing products and services,70,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Not Applicable,,Major Enabler,Major Enabler,Major Enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Major Barrier,Not Applicable,Not Applicable
45,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,15,,,,Increase,No,ICT managers,ICT professionals,"ICT business analysts, systems analysts and programmers",Developer programmers,Database and systems administrators,,,,,,ICT sales,,Research and development,"Business management, human resources and other support functions",,,"$1,000,000 to $4,999,999",50,48,,2,No,No,Increase,Stay the same,Irregularly,,,Computer software,Computer services,,,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,,,,,Customising/modifying existing products and services,12,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Barrier,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Enabler,Enabler
46,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,3,1,,1,Increase,Yes,,,,,,,,,,,,,,,,,"$0 to $199,999",100,,,,No,Yes,Stay the same,Increase,Irregularly,,,Computer software,Computer services,,,Information storage and retrieval,Hardware and software maintenance,,,Other,,,,,,,,North America,,,,,Canada,,,,,USA,Canada,Brazil,EU,China,Developing new products and services,100,Barrier,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Barrier,Major Enabler,Enabler,Enabler,Enabler,Major Barrier,Enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler
47,Internet publishing,Privately owned (100% Australian),Regional Victoria,20 or more years,1,1,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",80,20,,,Yes,Yes,Stay the same,Stay the same,Irregularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,20,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Barrier,Barrier,Barrier,Barrier,Barrier,Barrier,Barrier
48,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,38,1,1,,Increase,Yes,,,,Developer programmers,,,,,,,,ICT trainers,,,,,"$5,000,000 to $9,999,999",40,55,3,2,Yes,Yes,Increase,Stay the same,Irregularly,,,Computer software,,,,,,,,Other,South East Asia,,,Middle East,,,,,,,Oceania and Pacific Islands,,New Zealand,Egypt,Singapore,UAE,,New Zealand,Singapore,Middle East,Malaysia,India,Customising/modifying existing products and services,1,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
49,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,1,2,,1,Stay the same,Yes,,,,Developer programmers,,,,"Software engineers, testers and app programmers",,,,,,,,Other,"$0 to $199,999",5,10,85,,No,Yes,Stay the same,Increase,Regularly,,,,Computer services,,,,,,,,South East Asia,,,,,Western Europe,,North America,,,,,USA,UK,,,,USA,UK,,,,Other,80,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
50,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,1,1,,,Increase,No,,,,Developer programmers,,,,,,,,,,,,,"$0 to $199,999",85,15,,,Yes,No,Increase,,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New Zealand,Singapore,,,Customising/modifying existing products and services,,,,,,,,,,,,,,,,,,,
51,Manufacturing – ICT equipment,Listed on foreign exchange,Overseas,20 or more years,6,,140,26000,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",20,75,,5,Yes,No,Stay the same,Decrease,Irregularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Telecommunications services,Privately owned (up to 49% foreign owned),Metropolitan Melbourne,20 or more years,5,,,,Increase,Yes,,,,,,,,"Software engineers, testers and app programmers",,"Trades workers – Electrotechnology, electronics and  telecommunications",,,,,,,"$200,000 to $499,999",25,75,,,Yes,Yes,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,New Zealand,Taiwan,Japan,,Developing new products and services,7.5,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Major Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler
53,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,2,2,,,Stay the same,Yes,,ICT professionals,,Developer programmers,,,,"Software engineers, testers and app programmers",,,ICT sales,,Research and development,,,,"$0 to $199,999",100,,,,Yes,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,Developing new products and services,30,Major Barrier,Major Barrier,Barrier,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
54,Manufacturing – ICT equipment,Privately owned (50-100% foreign owned),Metropolitan Melbourne,Less than 2 years,6,,,,Increase,Yes,,ICT professionals,,,,,,,,,,,,,,,"$1,000,000 to $4,999,999",40,60,,,No,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Telecommunications services,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,17,2,3,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$5,000,000 to $9,999,999",25,75,,,No,No,Increase,Increase,Irregularly,,,Computer software,,,,,,,,,South East Asia,,South Asia,,,,,,,,Oceania and Pacific Islands,,,,,,,,,,,,Implementing new or significantly improved operational processes,,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Not Applicable,Not Applicable,Major Enabler,Major Enabler,Enabler,Major Barrier,Enabler,Major Barrier,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
57,Internet publishing,Privately owned (up to 49% foreign owned),Metropolitan Melbourne,5 to 9 years,25,5,3,30,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,"Software engineers, testers and app programmers",,,,,,,,,"More than $10,000,000",4,12,84,,No,Yes,Increase,Increase,Regularly,,,,,,,,,,,Other,,,,,,Western Europe,,North America,,,,,USA,UK,Canada,Germany,France,USA,UK,Canada,Germany,France,Developing new products and services,15,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Major Enabler,Not Applicable,Major Enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler
58,Manufacturing – ICT equipment,Privately owned (100% Australian),Regional Victoria,Less than 2 years,25,,,1,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,,Research and development,,,,"$5,000,000 to $9,999,999",20,60,,20,Yes,No,Increase,Stay the same,Regularly,Computer hardware,,Computer software,,,,,,,,,South East Asia,,,,,,,,,,Oceania and Pacific Islands,,Brunei,singapore,Indonesia,Malaysia,,China,India,malaysia,singapore,Brunei,Implementing new or significantly improved operational processes,15,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler
59,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,1,,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",100,,,,Yes,Yes,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company not involved in innovation,0,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
60,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,2,2,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$500,000 to $999,999",100,,,,Yes,Yes,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,UK,Canada,New Zealand,Singapore,Developing new products and services,15,Barrier,Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Major Barrier,Enabler,Major Enabler,Major Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Major Enabler
61,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,,22,,2,Increase,Yes,,,,,,,,,,,,,,,,Other,"$1,000,000 to $4,999,999",,5,,95,Yes,Yes,Increase,Decrease,Regularly,,,Computer software,,,,,,,,,,,,,,Western Europe,,North America,,,,,USA,Canada,UK,South Africa,,USA,UK,,,,Customising/modifying existing products and services,70,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler
